busIdx,busType,name,Vn,vmax,vmin,v0,a0,xcoord,ycoord,area,area,owner,numGen,sumGenP0,sumGenQ0,numLoad,sumLoadP0,sumLoadQ0,zone
1,1,A,345,1.1,0.9,1.04419,0.080393356,-73.923,42.494,2,1,1,0,0,0,0,0,0,A
2,1,B,345,1.1,0.9,1.0421,0.121740206,-74.88,42.336,2,1,1,0,0,0,0,0,0,B
3,1,C,345,1.1,0.9,1.041,0.057140334,-74.001,42.042,2,1,1,0,0,0,0,0,0,C
4,1,D,345,1.1,0.9,1.03072,0.010056587,-74.066,42.646,2,1,1,0,0,0,0,0,0,D
5,1,E,345,1.1,0.9,1.02634,-0.058833304,-73.78,43.086,2,1,1,0,0,0,1,7,1.25,E
6,2,F,345,1.1,0.9,1.04,-0.044793875,-73.628,42.702,2,1,1,1,3.7,1.34949,1,1.77,0.17,F
7,1,G,345,1.1,0.9,1.04908,0.145612819,-75.24,42.894,2,1,1,0,0,0,0,0,0,G
8,3,H,345,1.1,0.9,1.04792,0.114661151,-75.136,43.013,2,1,1,0,0,0,0,0,0,H
9,1,I,345,1.1,0.9,1.04349,0.068891636,-75.24,43.131,2,1,1,0,0,0,1,2.56,0.17,I
10,1,J,345,1.1,0.9,1.04781,0.107948614,-75.051,44.428,2,1,1,0,0,0,2,0.23,-0.425,J
11,2,K,345,1.1,0.9,1.03,0.203842239,-75.211,44.654,2,1,1,1,4,-0.03268,1,5.28,1,K
12,2,IESO,345,1.1,0.9,1.05,0.262021045,-74.821,44.846,2,1,1,1,4,1.07452,0,0,0,ISEO
13,1,PJM,345,1.1,0.9,0.96523,-0.019481365,-74.134,44.699,2,1,1,0,0,0,1,2.08,0.17,PJM
14,2,ISONE,345,1.1,0.9,1.05,0.230634789,-76.333,43.306,2,1,1,1,6,0.4118,0,0,0,ISONE
