x1,Generation,Column2
59 St.  GT 1,0.0,0.0
74 St.  GT 1,0.0,0.0
74 St.  GT 2,0.0,0.0
Allegany,11.0,11.0
Allied Frozen Storage,0.0,0.0
Arthur Kill Cogen,11.1,11.1
Arthur Kill GT 1,20.0,20.0
Arthur Kill ST 2,349.0,349.0
Arthur Kill ST 3,539.0,539.0
Astoria 2,153.0,153.0
Astoria 3,40.0,40.0
Astoria 5,2.0,357.40000000001606
Astoria CC 1,318.0,318.0
Astoria CC 2,320.0,320.0
Astoria East Energy - CC1,313.0,313.0
Astoria East Energy - CC2,313.0,313.0
Astoria Energy 2 - CC3,313.0,313.0
Astoria Energy 2 - CC4,313.0,313.0
Astoria GT 01,16.0,15.999999999999998
Astoria GT 2-1,0.0,0.0
Astoria GT 2-2,0.0,0.0
Astoria GT 2-3,0.0,0.0
Astoria GT 2-4,0.0,0.0
Astoria GT 3-1,0.0,0.0
Astoria GT 3-2,0.0,0.0
Astoria GT 3-3,0.0,0.0
Astoria GT 3-4,0.0,0.0
Astoria GT 4-1,0.0,0.0
Astoria GT 4-2,0.0,0.0
Astoria GT 4-3,0.0,0.0
Astoria GT 4-4,0.0,0.0
Athens 1,390.0,389.99999999999994
Athens 2,378.0,377.99999999999994
Athens 3,269.45,392.0
Barrett 03,1.0,1.0
Barrett 04,1.0,1.0
Barrett 05,1.0,1.0
Barrett 06,1.0,1.0
Barrett 08,1.0,1.0
Barrett 09,0.0,0.0
Barrett 10,0.0,0.0
Barrett 11,0.0,0.0
Barrett 12,0.0,0.0
Barrett GT 01,1.0,1.0
Barrett GT 02,1.0,1.0
Barrett ST 01,209.0,49.0
Barrett ST 02,200.99999999999997,48.0
Batavia,9.0,9.0
Beaver Falls,98.0,98.0
Bethlehem Energy Center,115.99999999999999,115.99999999999999
Bethpage,61.0,61.0
Bethpage 3,83.0,83.0
Bethpage GT4,14.000000000000002,14.000000000000002
Binghamton (RET - 1/9/18),0.0,0.0
Bowline 1,621.0,621.0000000000001
Bowline 2,253.52606484183661,593.0
