time,ISONE,F,E,G,D,C,B,A,H,I,K,J,IESO,PJM
1,7947.5509261,1113.4783062160002,439.2686723600022,943.2495187,155.41183640000003,1236.0586826819997,886.071684909,1292.0664035690008,237.7800291,581.8,1664.2302506,4896.0,8818.191904599998,12215.738436900001
2,7645.6529648,1064.141798074,430.85275065999997,890.9777076999999,187.6717969,1213.1679733159974,850.508293633,1316.277553040001,224.8140379,560.4,1561.5880889999999,4719.6,8483.2215254,11751.7078754
3,7353.2058149,1024.401997941,444.54136460000063,842.9567122,230.992145,1210.076647165999,825.6836332559999,1301.3792859200016,217.8267087,536.3,1493.2915051999998,4532.9,8158.7372763,11302.2036298
4,7162.3416795,1005.9241324809999,388.69125851000166,829.193796,192.12843549999997,1129.905906857999,797.056963625,1260.0886388439997,203.4673502,516.3,1390.4101848,4395.6,7946.9642926999995,11008.8369846
5,7050.199100700001,1003.8975814679999,411.0215456300025,821.4857343000001,234.71232030000004,1139.6789245870007,793.6149011089999,1241.5944309100016,199.6150368,501.7,1389.6961916,4322.6,7822.5366805,10836.468863
6,7114.4540529000005,1021.0869611420001,478.83146499000185,835.4825096,298.82991119999997,1226.3550469319994,822.893503778,1276.014149860001,196.9941115,508.8,1437.4790077,4337.3,7893.8306557999995,10935.231576600001
7,7310.386779900001,1044.4869611420002,478.48462554000207,868.8825096,258.2448291,1263.4187005020015,857.217840142,1300.773599900001,188.8941115,523.6,1437.5134894,4423.9,8111.2274863,11236.388871500001
8,7496.8158973,1079.970136665,469.2091966999988,866.4470382000001,229.30062810000004,1255.475494785999,882.914279258,1325.5401175700015,208.4639327,527.5,1407.4291761,4515.6,8318.0796047,11522.938699099997
9,7692.3790398,1103.705520525,462.5613762700039,897.4970557000001,195.19987929999996,1251.7776104769996,911.131367477,1326.2919831329993,218.2395899,534.6,1408.4956169000002,4632.5,8535.066363099999,11823.527925900002
10,8010.538729400001,1142.369242876,532.871111760001,939.5164038,220.3145328,1344.846708516998,955.970764044,1386.0896201800003,235.265142,553.2,1490.6898073,4779.8,8888.0799182,12312.5534877
11,8339.680367500001,1191.800210263,591.1539219899978,966.4954434,236.88674759999998,1442.0403768589995,1006.068136952,1456.8387526300019,248.3291272,581.9,1607.1539498,4937.5,9253.278474800001,12818.4587904
12,8554.0395357,1240.47187127,638.3426649099994,968.4261128999999,253.30854150000005,1506.9187380489996,1044.344550446,1485.5765253200018,251.1792324,592.5,1676.7817628,5058.9,9491.1203329,13147.938340699999
13,8595.8026149,1265.288643074,639.7003044100004,972.7793901000001,273.6047176,1538.5305684589985,1061.28373211,1497.1291857200015,249.0271293,584.4,1629.7563286,5094.6,9537.458487099999,13212.130047699999
14,8577.1121853,1284.056729424,648.7572722300004,978.0875219,287.74719579999993,1570.290624060999,1063.4910998399998,1518.215790610002,247.8820715,586.0,1600.5883608,5115.5,9516.720552199999,13183.402026799999
15,8669.244388699999,1279.7709254069998,680.3729754899997,1007.6132843,331.12388059999995,1607.070228416,1074.507501608,1542.4435099600005,254.2981598,592.7,1704.3328678,5169.3,9618.945686000001,13325.013315799999
16,8855.0399327,1315.878969612,713.0464254200031,1047.988994,352.2742403000001,1647.1291997650014,1086.372638333,1581.3013467100009,265.2872766,608.0,1824.3209097,5233.0,9825.0948224,13610.589310700001
17,9352.2898447,1398.960409729,770.8952540499965,1126.6744479000001,373.49192500000004,1729.092792888,1141.259405962,1662.68511257,291.8417981,653.8,2056.2155199,5422.4,10376.8176343,14374.884492499998
18,9941.8303516,1473.154206278,867.4341437699985,1222.0422012,444.0672028,1844.2975060909982,1223.1710967269998,1762.104994070002,322.0325447,706.4,2341.212772,5664.0,11030.941323699999,15281.03441
19,9919.760861499999,1456.587855332,892.5058962850004,1215.4131441,518.2875614999999,1889.4908496889987,1217.8418861300001,1763.8108228500018,331.8929022,712.1,2393.102415,5692.5,11006.454161500002,15247.112622100001
20,9771.6101666,1424.4613034190002,907.3849683590023,1189.4050824,533.44437789,1897.9639517069982,1190.5743566170001,1766.273926290002,322.9405889,705.8,2371.601444,5637.0,10842.0737976,15019.3984336
21,9540.3028975,1376.4055205250002,885.9259781489999,1154.5970557,556.6927996500001,1861.184690146999,1153.958801218,1733.0561425000003,312.2395899,687.9,2315.0394226,5549.5,10585.427204000001,14663.868890300002
22,9180.221733299999,1300.5435855520002,858.9526949989978,1099.4389765,552.28286936,1793.071584601,1098.108942226,1682.5599108700017,291.4116193,661.4,2202.7798162,5416.7,10185.8997486,14110.4081658
23,8658.4208352,1216.483385985,800.6034054079997,1019.559972,541.7587988399999,1702.1801252270018,1028.856955588,1595.1390356800016,258.7989485,616.3,2021.2360397000002,5177.7,9606.9364296,13308.377034000001
24,8162.3852728,1145.639116705,766.6541792770009,942.1858044,532.90220333,1615.8206999639983,970.909065719,1530.9792321400005,230.8176656,572.5,1837.0587001,4888.4,9056.5609977,12545.948363399999
25,7803.7824498,1107.576627414,745.6580670940025,897.5579198999999,536.7082633,1574.182648608,940.481892816,1493.9772803499989,212.5856323,536.5,1706.3989409,4627.6,8658.6738313,11994.759911000001
